RefWBAN,RefDist,RefCity,RefState
3719,58841.56745967485,Virginia Beach,Virginia
93735,63791.07253143287,Virginia Beach,Virginia
13786,70871.53290430595,Virginia Beach,Virginia
94978,53317.58334410809,Omaha,Nebraska
4936,69185.11418610584,Omaha,Nebraska
4966,74935.65887139,Omaha,Nebraska
14939,76078.48220789207,Omaha,Nebraska
4993,78254.03149014789,Omaha,Nebraska
93227,50515.69809968886,Oakland,California
135,51575.09089184729,Oakland,California
23293,52222.893486102366,Oakland,California
93232,60061.53215715919,Oakland,California
23202,62468.40054683783,Oakland,California
4943,38264.253927611164,Minneapolis,Minnesota
54901,50292.81766113606,Minneapolis,Minnesota
54930,58386.21530969907,Minneapolis,Minnesota
54912,58511.21660301686,Minneapolis,Minnesota
4968,60605.24185508209,Minneapolis,Minnesota
3959,69559.64474905575,Tulsa,Oklahoma
93953,72191.69236551931,Tulsa,Oklahoma
53956,82570.65669542523,Tulsa,Oklahoma
53993,83676.31156867028,Tulsa,Oklahoma
53949,86701.24694211419,Tulsa,Oklahoma
3970,40839.666681521536,Arlington,Texas
53975,41361.17327179037,Arlington,Texas
53981,47811.82850272743,Arlington,Texas
3991,56431.7979919154,Arlington,Texas
53970,56813.60067540822,Arlington,Texas
3908,74862.4439509972,New Orleans,Louisiana
12993,74973.6502190905,New Orleans,Louisiana
148,87266.41587002017,New Orleans,Louisiana
432,87639.3284503495,New Orleans,Louisiana
93874,88150.27353162246,New Orleans,Louisiana
13986,57803.698584760896,Wichita,Kansas
13932,65844.7871432103,Wichita,Kansas
212,102187.13779663153,Wichita,Kansas
3957,106841.1177220703,Wichita,Kansas
13969,107920.7333377718,Wichita,Kansas
4849,45429.2176067759,Cleveland,Ohio
380,49289.636595514334,Cleveland,Ohio
14813,55019.281400166496,Cleveland,Ohio
14895,68323.30910608057,Cleveland,Ohio
4842,71114.43158238384,Cleveland,Ohio
12818,53269.228048858226,Tampa,Florida
12809,62850.93162013577,Tampa,Florida
12876,65874.79005673237,Tampa,Florida
12871,67686.76735968093,Tampa,Florida
377,91432.93685125925,Tampa,Florida
479,56609.82486021052,Bakersfield,California
23187,69566.59097235255,Bakersfield,California
23149,78876.32345072582,Bakersfield,California
3183,83923.05371106797,Bakersfield,California
3159,97875.48513575096,Bakersfield,California
4867,37467.933408235025,Aurora,Colorado
4871,38767.63917407307,Aurora,Colorado
94846,41460.355336382185,Aurora,Colorado
14819,46220.21785774429,Aurora,Colorado
4838,52927.02481769156,Aurora,Colorado
22534,75707.50919160199,Honolulu,Hawaii
22524,106855.86445273731,Honolulu,Hawaii
22552,123863.74285419918,Honolulu,Hawaii
22516,150108.5475008882,Honolulu,Hawaii
22536,175100.09674798872,Honolulu,Hawaii
3174,45490.33205855593,Anaheim,California
93134,46071.406381124405,Anaheim,California
3167,46122.35816665391,Anaheim,California
93136,48446.98572438796,Anaheim,California
23174,51968.53806250035,Anaheim,California
3179,35262.212159888295,Santa Ana,California
3165,40730.056262764214,Santa Ana,California
3180,41413.187202779816,Santa Ana,California
3174,42137.50199604596,Santa Ana,California
3102,44252.31071607452,Santa Ana,California
12974,71946.65936981072,Corpus Christi,Texas
261,77033.43108762123,Corpus Christi,Texas
127,80567.96352273565,Corpus Christi,Texas
12982,93509.25737328429,Corpus Christi,Texas
12991,97752.04708656752,Corpus Christi,Texas
3180,39356.38326523929,Riverside,California
93184,52241.8381763401,Riverside,California
3166,53919.92253713017,Riverside,California
3165,60479.04397364695,Riverside,California
115,61449.65890035186,Riverside,California
145,48255.847633364,Lexington,Kentucky
144,57350.03263632594,Lexington,Kentucky
13810,104180.57402986547,Lexington,Kentucky
93821,109494.78138244995,Lexington,Kentucky
63815,110411.18047614089,Lexington,Kentucky
23258,49592.580789727916,Stockton,California
23285,54694.04683100151,Stockton,California
23232,61991.42081307893,Stockton,California
23202,63886.52080395663,Stockton,California
23206,65494.06756197638,Stockton,California
64705,38586.37438088987,Pittsburgh,Pennsylvania
4827,41930.227430923485,Pittsburgh,Pennsylvania
4813,51488.3514488328,Pittsburgh,Pennsylvania
54735,51987.7785103047,Pittsburgh,Pennsylvania
14894,63324.22852236565,Pittsburgh,Pennsylvania
4836,5664031.398255265,Saint Paul,Minnesota
14607,5664140.040537158,Saint Paul,Minnesota
14604,5674814.504583131,Saint Paul,Minnesota
14609,5684915.098069969,Saint Paul,Minnesota
14610,5770715.248766964,Saint Paul,Minnesota
63887,45646.6133993592,Cincinnati,Ohio
53859,57652.57050531635,Cincinnati,Ohio
13841,69570.854251037,Cincinnati,Ohio
13840,88055.1735535163,Cincinnati,Ohio
93815,89740.25517200722,Cincinnati,Ohio
26438,109589.57214837943,Anchorage,Alaska
26559,112297.86487062725,Anchorage,Alaska
26523,114559.58864229845,Anchorage,Alaska
26439,125044.48724371586,Anchorage,Alaska
26514,134146.04566219138,Anchorage,Alaska
4921,57476.87330051954,Henderson,Nevada
