CityWBAN,CityDist,City,State
230,19940.778884512583,Austin,Texas
13904,14026.648619384121,Austin,Texas
93837,12562.404605688795,Jacksonville,Florida
326,36585.94378841515,Jacksonville,Florida
53860,16076.703784374218,Jacksonville,Florida
63890,19295.75316416371,Jacksonville,Florida
63823,23182.375560521,Jacksonville,Florida
13889,16417.795989784838,Jacksonville,Florida
3853,26182.772969779322,Jacksonville,Florida
228,36275.61681133816,San Francisco,California
23234,36029.12601190981,San Francisco,California
13812,19344.7690382956,Columbus,Ohio
63825,15313.070922445802,Columbus,Ohio
14821,9425.296692184087,Columbus,Ohio
4804,12937.21128546099,Columbus,Ohio
53842,13379.558777048682,Indianapolis,Indiana
93819,11128.715523210773,Indianapolis,Indiana
13961,4855.118472667923,Fort Worth,Texas
13911,13183.747060566651,Fort Worth,Texas
3985,26288.075277035678,Fort Worth,Texas
53984,27329.908906595036,Fort Worth,Texas
3927,28665.036409523116,Fort Worth,Texas
53907,25488.297306972734,Fort Worth,Texas
53909,19170.873685641764,Fort Worth,Texas
13881,9960.842772798173,Charlotte,North Carolina
24234,9195.39492737445,Seattle,Washington
94248,16021.650903231674,Seattle,Washington
3065,27047.67976876393,Denver,Colorado
93067,21669.22297023094,Denver,Colorado
3017,18790.62175968575,Denver,Colorado
23036,10650.220973675392,Denver,Colorado
450,26594.792737959775,Denver,Colorado
23044,3526.8939667940945,El Paso,Texas
358,12661.56679260307,Washington,District Of Columbia
13743,4835.201519657597,Washington,District Of Columbia
14739,5664.4275881953145,Boston,Massachusetts
14753,14687.083046649392,Boston,Massachusetts
14822,9617.265241225314,Detroit,Michigan
13827,30963.018899815994,Nashville,Tennessee
13897,11727.350395451904,Nashville,Tennessee
93839,26602.683511127067,Memphis,Tennessee
13893,8309.496805738052,Memphis,Tennessee
53959,23844.394972407223,Memphis,Tennessee
63808,23845.509901078538,Memphis,Tennessee
24229,6929.856759279572,Portland,Oregon
94298,8699.014521762176,Portland,Oregon
215,30696.94676729894,Oklahoma City,Oklahoma
13967,15357.62352955519,Oklahoma City,Oklahoma
3954,16293.520171413269,Oklahoma City,Oklahoma
13919,11345.987460064449,Oklahoma City,Oklahoma
3948,26455.567101016135,Oklahoma City,Oklahoma
23112,18476.422425000328,Las Vegas,Nevada
53123,6245.672699119725,Las Vegas,Nevada
93821,5331.769060684,Louisville,Kentucky
13810,4459.89658491829,Louisville,Kentucky
93744,17638.039969050107,Baltimore,Maryland
93721,14657.153109123637,Baltimore,Maryland
93784,1114.0491495555314,Baltimore,Maryland
14839,12964.295001486855,Milwaukee,Wisconsin
94869,7802.606549987412,Milwaukee,Wisconsin
3034,12342.679432913963,Albuquerque,New Mexico
23050,7357.558772842299,Albuquerque,New Mexico
23160,6914.376144167148,Tucson,Arizona
23109,1148.1983494645995,Tucson,Arizona
23206,14640.57031148007,Sacramento,California
23232,6466.864754944057,Sacramento,California
23208,12896.681262726393,Sacramento,California
13988,3743.974274515646,Kansas City,Missouri
3947,26266.361497302114,Kansas City,Missouri
53879,22965.888623644914,Kansas City,Missouri
3967,30457.087259254597,Kansas City,Missouri
3888,9422.386610556965,Atlanta,Georgia
53863,16212.813962540251,Atlanta,Georgia
13874,14733.952544455286,Atlanta,Georgia
53141,9744.343107721257,Long Beach,California
23129,3328.412817753761,Long Beach,California
280,18093.31780587763,Colorado Springs,Colorado
94015,21618.909770906663,Colorado Springs,Colorado
93065,11442.94655560137,Colorado Springs,Colorado
93037,8974.702747005034,Colorado Springs,Colorado
13722,13354.05085492139,Raleigh,North Carolina
12839,9799.644292734218,Miami,Florida
13762,22592.441979975134,Virginia Beach,Virginia
13769,6399.888074611584,Virginia Beach,Virginia
13737,20059.471703468327,Virginia Beach,Virginia
4992,11265.192824594407,Omaha,Nebraska
14942,14359.735522949455,Omaha,Nebraska
436,14123.348647613444,Omaha,Nebraska
23230,3367.8413834710827,Oakland,California
